Gene,Coefficient,Abs_Coefficient
ENSG00000198812,-0.06172002961937155,0.06172002961937155
ENSG00000180316,0.05839601277714895,0.05839601277714895
ENSG00000177947,0.05783264628553011,0.05783264628553011
ENSG00000221813,-0.05773361323332302,0.05773361323332302
ENSG00000204928,-0.0564329132303212,0.0564329132303212
ENSG00000168148,-0.05233867991678849,0.05233867991678849
ENSG00000150722,-0.05154577623815159,0.05154577623815159
ENSG00000144290,0.051065008328329026,0.051065008328329026
ENSG00000196341,-0.050476875747595774,0.050476875747595774
ENSG00000183269,-0.04854475503096813,0.04854475503096813
ENSG00000204193,0.0483971555223445,0.0483971555223445
ENSG00000130595,0.047741495266466975,0.047741495266466975
ENSG00000137204,0.04625222462784905,0.04625222462784905
ENSG00000176904,-0.045970420237442154,0.045970420237442154
ENSG00000125851,-0.045945056269929764,0.045945056269929764
ENSG00000241598,0.04568333559952877,0.04568333559952877
ENSG00000244588,-0.045426014425576186,0.045426014425576186
ENSG00000254656,0.045327552954541106,0.045327552954541106
ENSG00000226306,-0.04531043046828055,0.04531043046828055
ENSG00000187080,-0.04473177222571906,0.04473177222571906
ENSG00000174358,-0.044648849595088705,0.044648849595088705
ENSG00000244623,0.044092087445795604,0.044092087445795604
ENSG00000136535,0.043955784478400026,0.043955784478400026
ENSG00000179994,-0.04389794531223457,0.04389794531223457
ENSG00000214534,0.043546583564239086,0.043546583564239086
ENSG00000258873,-0.04292771951727409,0.04292771951727409
ENSG00000153714,-0.0428457217772151,0.0428457217772151
ENSG00000161849,0.042254459184251955,0.042254459184251955
ENSG00000081800,-0.04222805336890629,0.04222805336890629
ENSG00000205864,-0.042166700401502694,0.042166700401502694
ENSG00000188782,0.04209926076865629,0.04209926076865629
ENSG00000119938,-0.042011848430371486,0.042011848430371486
ENSG00000136352,0.04183289351768821,0.04183289351768821
ENSG00000169575,-0.0418094537183999,0.0418094537183999
ENSG00000214891,-0.041466943503796067,0.041466943503796067
ENSG00000184502,-0.04128553991508022,0.04128553991508022
ENSG00000164532,0.04119893884691472,0.04119893884691472
ENSG00000111262,-0.04117706720955282,0.04117706720955282
ENSG00000131914,0.04113289745714614,0.04113289745714614
ENSG00000120500,0.040737266358807346,0.040737266358807346
ENSG00000221977,-0.040659074548119144,0.040659074548119144
ENSG00000064218,0.04049751387889681,0.04049751387889681
ENSG00000179165,0.040351173788296335,0.040351173788296335
